CodePostal,Ville,Adresse
31670,Labège,"Centre Commercial Carrefour Labège 2, 700 La Pyrénéenne"
11100,Narbonne,Centre commercial Géant Casino
11000,Carcassonne,"Centre Commercial Carrefour, Pont rouge "
66530,Claira,Route du Barcares
66000,Perpignan,"Centre Commercial Auchan, Avenue d'Espagne"
66000,Perpignan,11 Place de la Republique 
15000,Aurillac,"Centre Commercial Geant Casino, 7 avenue Général de Gaulle"
64990,Saint-Pierre d?Irube,"Centre Commercial IKEA Ametzondo, 2-4 Avenue du Portou"
75009,Paris,40 Boulevard Haussmann
75009,Paris,21 Boulevard Haussmann
75009,Paris,64 Boulevard Haussmann
78140,Velizy Villacoublay,"Centre Commercial Velizy 2, 2 Avenue de l'Europe"
75004,Paris,52 Rue de Rivoli
67000,Strasbourg,34 Rue du 22 Novembre
35200,Rennes,"Centre Commercial Alma, 5 Rue du Bosphore"
83160,La Valette,"Centre Commercial Grand Var, RN 98"
75020,Paris,21 Cours de Vincennes
59000,Lille,39 - 45 Rue Nationale
13001,Marseille,2 Rue Bir Hakeim
75015,Paris,22 Rue du Depart
57000,Metz,4 Rue Winston Churchill
69500,Bron,209 Boulevard Pinel
69003,Lyon,"Centre Commercial La Part Dieu, 17 Rue du Dr Bouchut"
33000,Bordeaux,11 - 19 Rue Sainte-Catherine
6000,Nice,6 Avenue Jean Médecin
6700,Saint-Laurent du Var,"Centre Commercial Cap 3000, Avenue Eugène Donadeï"
78150,Le Chesnay,"Centre Commercial Parly 2, 2 Avenue Charles de Gaulle"
75013,Paris,"Centre Commercial Italie 2, 30 Avenue d' Italie"
44000,Nantes,2 - 20 Rue de la Marne
93110,Rosny-sous-bois,"Centre Commercial Rosny 2, Avenue du Général de Gaulle"
31000,Toulouse,4 - 8 Rue Lapeyrouse
67000,Strasbourg,1 - 5 Rue de la Haute Montee
76000,Rouen,4 - 14 Rue du Gros Horloge
75001,Paris,99 rue de Rivoli 
10150,Pont Sainte-Marie,"Mc Arthur Glen, 410 Voie du Bois, Local n°410"
67000,Strasbourg,48-50 Rue des Hallebardes
92800,Puteaux,"Centre commercial Les 4 Temps, 15 Parvis de la Défense, Local n°259 A "
94000,Créteil,"Centre Commercial Creteil Soleil, 101 Avenue du Général de Gaulle, Niveau 1 - Local 1003"
75001,Paris,"Centre commercial Forum des Halles, 101 Rue Berger, Local n°349"
77710,Marne-la-Vallée,"Centre Commercial Val d'Europe, 14 cours du Danube - Serris, Local P1 127 & partie 129"
6700,Saint-Laurent du Var,"Centre Commercial Cap 3000, Avenue Eugène Donadeï, Lots n°54 et 54bis"
92100,Boulogne Billancourt,"Centre Commercial Les Passages de l'Hôtel de Ville, 5 Rue Tony Garnier, Ilot A - Local n°8"
69002,Lyon,92 Rue Edouard Hérriot
75006,Paris,52 Rue Bonaparte
59000,Lille,34-36 Rue de la Grande Chaussée
